countyID,LKType,LKName
5334,StädteRegion,Aachen
7131,LK,Ahrweiler
9771,LK,Aichach-Friedberg
8425,LK,Alb-Donau-Kreis
16077,LK,Altenburger Land
7132,LK,Altenkirchen
15081,LK,Altmarkkreis Salzwedel
9171,LK,Altötting
7331,LK,Alzey-Worms
9361,SK,Amberg
9371,LK,Amberg-Sulzbach
3451,LK,Ammerland
15082,LK,Anhalt-Bitterfeld
9561,SK,Ansbach
9571,LK,Ansbach
9661,SK,Aschaffenburg
9671,LK,Aschaffenburg
9772,LK,Augsburg
9761,SK,Augsburg
3452,LK,Aurich
7332,LK,Bad Dürkheim
9672,LK,Bad Kissingen
7133,LK,Bad Kreuznach
9173,LK,Bad Tölz-Wolfratshausen
8211,SK,Baden-Baden
9471,LK,Bamberg
9461,SK,Bamberg
12060,LK,Barnim
14625,LK,Bautzen
9472,LK,Bayreuth
9462,SK,Bayreuth
9172,LK,Berchtesgadener Land
6431,LK,Bergstraße
11004,SK,Berlin Charlottenburg-Wilmersdorf
11002,SK,Berlin Friedrichshain-Kreuzberg
11011,SK,Berlin Lichtenberg
11010,SK,Berlin Marzahn-Hellersdorf
11001,SK,Berlin Mitte
11008,SK,Berlin Neukölln
11003,SK,Berlin Pankow
11012,SK,Berlin Reinickendorf
11005,SK,Berlin Spandau
11006,SK,Berlin Steglitz-Zehlendorf
11007,SK,Berlin Tempelhof-Schöneberg
11009,SK,Berlin Treptow-Köpenick
7231,LK,Bernkastel-Wittlich
8426,LK,Biberach
5711,SK,Bielefeld
7134,LK,Birkenfeld
7232,LK,Bitburg-Prüm
8115,LK,Böblingen
5911,SK,Bochum
8435,LK,Bodenseekreis
5314,SK,Bonn
15083,LK,Börde
5554,LK,Borken
5512,SK,Bottrop
12051,SK,Brandenburg a.d.Havel
3101,SK,Braunschweig
8315,LK,Breisgau-Hochschwarzwald
4011,SK,Bremen
4012,SK,Bremerhaven
15084,LK,Burgenlandkreis
8235,LK,Calw
3351,LK,Celle
9372,LK,Cham
14511,SK,Chemnitz
3453,LK,Cloppenburg
9463,SK,Coburg
9473,LK,Coburg
7135,LK,Cochem-Zell
5558,LK,Coesfeld
12052,SK,Cottbus
3352,LK,Cuxhaven
9174,LK,Dachau
12061,LK,Dahme-Spreewald
6411,SK,Darmstadt
6432,LK,Darmstadt-Dieburg
9271,LK,Deggendorf
3401,SK,Delmenhorst
15001,SK,Dessau-Roßlau
3251,LK,Diepholz
9773,LK,Dillingen a.d.Donau
9279,LK,Dingolfing-Landau
1051,LK,Dithmarschen
9779,LK,Donau-Ries
7333,LK,Donnersbergkreis
5913,SK,Dortmund
14612,SK,Dresden
5112,SK,Duisburg
5358,LK,Düren
5111,SK,Düsseldorf
9175,LK,Ebersberg
16061,LK,Eichsfeld
9176,LK,Eichstätt
16056,SK,Eisenach
12062,LK,Elbe-Elster
3402,SK,Emden
8316,LK,Emmendingen
3454,LK,Emsland
5954,LK,Ennepe-Ruhr-Kreis
8236,LK,Enzkreis
9177,LK,Erding
16051,SK,Erfurt
9562,SK,Erlangen
9572,LK,Erlangen-Höchstadt
14521,LK,Erzgebirgskreis
5113,SK,Essen
8116,LK,Esslingen
5366,LK,Euskirchen
1001,SK,Flensburg
9474,LK,Forchheim
7311,SK,Frankenthal
12053,SK,Frankfurt (Oder)
6412,SK,Frankfurt am Main
8311,SK,Freiburg i.Breisgau
9178,LK,Freising
8237,LK,Freudenstadt
9272,LK,Freyung-Grafenau
3455,LK,Friesland
6631,LK,Fulda
9179,LK,Fürstenfeldbruck
9563,SK,Fürth
9573,LK,Fürth
9180,LK,Garmisch-Partenkirchen
5513,SK,Gelsenkirchen
16052,SK,Gera
7334,LK,Germersheim
6531,LK,Gießen
3151,LK,Gifhorn
8117,LK,Göppingen
14626,LK,Görlitz
3153,LK,Goslar
16067,LK,Gotha
3159,LK,Göttingen
3456,LK,Grafschaft Bentheim
16076,LK,Greiz
6433,LK,Groß-Gerau
9774,LK,Günzburg
5754,LK,Gütersloh
5914,SK,Hagen
15002,SK,Halle
2000,SK,Hamburg
3252,LK,Hameln-Pyrmont
5915,SK,Hamm
3241,Region,Hannover
3353,LK,Harburg
15085,LK,Harz
9674,LK,Haßberge
12063,LK,Havelland
3358,LK,Heidekreis
8221,SK,Heidelberg
8135,LK,Heidenheim
